名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,14,槍槓,0 回,0.0%,1 位,,28,+187.2,,,,,
,,,,18,三色同順,0 回,0.0%,1 位,,29,+112.4,,,,,
,,,,19,三色同刻,0 回,0.0%,3 位,,30,+227.4,,,,,
,,,,21,三槓子,0 回,0.0%,1 位,,31,+146.1,,,,,
,,,,23,小三元,0 回,0.0%,5 位,,32,+281.5,,,,,
,,,,27,純チャン,0 回,0.0%,3 位,,33,+320.8,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,34,+242.8,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,35,+250.0,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,36,+219.2,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,37,+278.5,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,38,+156.2,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,39,+190.4,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,40,+184.6,,,,,
,,,,41,天和,0 回,0.0%,1 位,,41,+118.8,,,,,
,,,,42,地和,0 回,0.0%,1 位,,42,+138.2,,,,,
,,,,43,人和,0 回,0.0%,1 位,,43,+163.5,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,44,+134.3,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,45,+200.5,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,46,+131.6,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,47,+89.9,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,48,+153.4,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,49,+127.4,,,,,
,,,,,,,,,,50,+157.9,,,,,
,,,,,,,,,,51,+146.5,,,,,
,,,,,,,,,,52,+132.4,,,,,
,,,,,,,,,,53,+83.1,,,,,
,,,,,,,,,,54,+144.5,,,,,
,,,,,,,,,,55,+113.8,,,,,
,,,,,,,,,,56,+184.0,,,,,
,,,,,,,,,,57,+184.0,,,,,
,,,,,,,,,,58,+282.2,,,,,
,,,,,,,,,,59,+235.8,,,,,
,,,,,,,,,,60,+138.3,,,,,
,,,,,,,,,,61,+226.6,,,,,
,,,,,,,,,,62,+73.5,,,,,
,,,,,,,,,,63,+129.5,,,,,
,,,,,,,,,,64,+136.5,,,,,
,,,,,,,,,,65,+198.7,,,,,
,,,,,,,,,,66,+129.1,,,,,
,,,,,,,,,,67,+128.3,,,,,
,,,,,,,,,,68,+140.0,,,,,
,,,,,,,,,,69,+203.7,,,,,
,,,,,,,,,,70,+228.2,,,,,
,,,,,,,,,,71,+185.0,,,,,
,,,,,,,,,,72,+229.0,,,,,
,,,,,,,,,,73,+182.9,,,,,
,,,,,,,,,,74,+276.8,,,,,
,,,,,,,,,,75,+247.2,,,,,
,,,,,,,,,,76,+214.6,,,,,
,,,,,,,,,,77,+238.5,,,,,
,,,,,,,,,,78,+297.2,,,,,
,,,,,,,,,,79,+345.3,,,,,
,,,,,,,,,,80,+350.3,,,,,
,,,,,,,,,,81,+390.8,,,,,
,,,,,,,,,,82,+478.9,,,,,
,,,,,,,,,,83,+441.3,,,,,
,,,,,,,,,,84,+433.4,,,,,
,,,,,,,,,,85,+389.0,,,,,
,,,,,,,,,,86,+417.4,,,,,
,,,,,,,,,,87,+322.9,,,,,
,,,,,,,,,,88,+367.2,,,,,
,,,,,,,,,,89,+420.6,,,,,
,,,,,,,,,,90,+413.6,,,,,
,,,,,,,,,,91,+446.1,,,,,
,,,,,,,,,,92,+511.2,,,,,
,,,,,,,,,,93,+456.1,,,,,
,,,,,,,,,,94,+387.1,,,,,
,,,,,,,,,,95,+345.6,,,,,
,,,,,,,,,,96,+407.3,,,,,
,,,,,,,,,,97,+392.2,,,,,
,,,,,,,,,,98,+481.2,,,,,
,,,,,,,,,,99,+426.5,,,,,
,,,,,,,,,,100,+417.3,,,,,
,,,,,,,,,,101,+348.7,,,,,
,,,,,,,,,,102,+349.1,,,,,
,,,,,,,,,,103,+421.9,,,,,
,,,,,,,,,,104,+484.1,,,,,
,,,,,,,,,,105,+453.5,,,,,
,,,,,,,,,,106,+423.9,,,,,
,,,,,,,,,,107,+404.2,,,,,
,,,,,,,,,,108,+381.1,,,,,
,,,,,,,,,,109,+448.4,,,,,
,,,,,,,,,,110,+463.4,,,,,
,,,,,,,,,,111,+433.1,,,,,
,,,,,,,,,,112,+550.5,,,,,
,,,,,,,,,,113,+528.7,,,,,
,,,,,,,,,,114,+435.6,,,,,
,,,,,,,,,,115,+506.6,,,,,
,,,,,,,,,,116,+520.7,,,,,
,,,,,,,,,,117,+528.6,,,,,
,,,,,,,,,,118,+550.8,,,,,
,,,,,,,,,,119,+458.9,,,,,
,,,,,,,,,,120,+573.4,,,,,
,,,,,,,,,,121,+441.9,,,,,
,,,,,,,,,,122,+514.8,,,,,
,,,,,,,,,,123,+462.6,,,,,
,,,,,,,,,,124,+564.9,,,,,
,,,,,,,,,,125,+577.7,,,,,
,,,,,,,,,,126,+567.6,,,,,
,,,,,,,,,,127,+645.7,,,,,
,,,,,,,,,,128,+654.4,,,,,
,,,,,,,,,,129,+650.4,,,,,
,,,,,,,,,,130,+721.4,,,,,
,,,,,,,,,,131,+640.8,,,,,
,,,,,,,,,,132,+735.8,,,,,
,,,,,,,,,,133,+713.8,,,,,
,,,,,,,,,,134,+842.2,,,,,
,,,,,,,,,,135,+784.5,,,,,
,,,,,,,,,,136,+811.7,,,,,
,,,,,,,,,,137,+843.9,,,,,
,,,,,,,,,,138,+860.9,,,,,
,,,,,,,,,,139,+854.9,,,,,
,,,,,,,,,,140,+857.2,,,,,
,,,,,,,,,,141,+860.6,,,,,
,,,,,,,,,,142,+832.5,,,,,
,,,,,,,,,,143,+869.5,,,,,
,,,,,,,,,,144,+831.2,,,,,
,,,,,,,,,,145,+875.3,,,,,
,,,,,,,,,,146,+890.9,,,,,
,,,,,,,,,,147,+803.3,,,,,
,,,,,,,,,,148,+780.1,,,,,
,,,,,,,,,,149,+823.3,,,,,
,,,,,,,,,,150,+788.5,,,,,
,,,,,,,,,,151,+782.5,,,,,
,,,,,,,,,,152,+881.7,,,,,
,,,,,,,,,,153,+827.7,,,,,
,,,,,,,,,,154,+861.2,,,,,
,,,,,,,,,,155,+818.8,,,,,
,,,,,,,,,,156,+847.0,,,,,
,,,,,,,,,,157,+879.3,,,,,
,,,,,,,,,,158,+907.2,,,,,
,,,,,,,,,,159,+873.8,,,,,
,,,,,,,,,,160,+943.6,,,,,
,,,,,,,,,,161,+945.3,,,,,
,,,,,,,,,,162,+952.8,,,,,
,,,,,,,,,,163,+989.1,,,,,
,,,,,,,,,,164,+940.4,,,,,
,,,,,,,,,,165,+948.6,,,,,
,,,,,,,,,,166,+869.4,,,,,
,,,,,,,,,,167,+953.4,,,,,
,,,,,,,,,,168,+1013.1,,,,,
,,,,,,,,,,169,+988.4,,,,,
,,,,,,,,,,170,+995.8,,,,,
,,,,,,,,,,171,+850.1,,,,,
,,,,,,,,,,172,+913.1,,,,,
,,,,,,,,,,173,+910.9,,,,,
,,,,,,,,,,174,+1031.5,,,,,
,,,,,,,,,,175,+972.5,,,,,
,,,,,,,,,,176,+931.5,,,,,
,,,,,,,,,,177,+945.2,,,,,
,,,,,,,,,,178,+1027.6,,,,,
,,,,,,,,,,179,+1110.1,,,,,
,,,,,,,,,,180,+1072.5,,,,,
,,,,,,,,,,181,+1093.0,,,,,
,,,,,,,,,,182,+1191.9,,,,,
,,,,,,,,,,183,+1109.4,,,,,
,,,,,,,,,,184,+1143.3,,,,,
,,,,,,,,,,185,+1194.8,,,,,
,,,,,,,,,,186,+1184.1,,,,,
,,,,,,,,,,187,+1190.5,,,,,
,,,,,,,,,,188,+1178.4,,,,,
,,,,,,,,,,189,+1181.3,,,,,
,,,,,,,,,,190,+1276.8,,,,,
,,,,,,,,,,191,+1274.4,,,,,
,,,,,,,,,,192,+1263.6,,,,,
,,,,,,,,,,193,+1223.6,,,,,
,,,,,,,,,,194,+1202.8,,,,,
,,,,,,,,,,195,+1295.1,,,,,
,,,,,,,,,,196,+1283.2,,,,,
,,,,,,,,,,197,+1298.8,,,,,
,,,,,,,,,,198,+1298.4,,,,,
,,,,,,,,,,199,+1276.4,,,,,
,,,,,,,,,,200,+1311.4,,,,,
,,,,,,,,,,201,+1298.3,,,,,
,,,,,,,,,,202,+1287.2,,,,,
,,,,,,,,,,203,+1206.2,,,,,
,,,,,,,,,,204,+1285.8,,,,,
,,,,,,,,,,205,+1313.2,,,,,
,,,,,,,,,,206,+1306.6,,,,,
,,,,,,,,,,207,+1308.5,,,,,
,,,,,,,,,,208,+1225.5,,,,,
,,,,,,,,,,209,+1280.9,,,,,
,,,,,,,,,,210,+1298.7,,,,,
,,,,,,,,,,211,+1305.9,,,,,
,,,,,,,,,,212,+1339.2,,,,,
,,,,,,,,,,213,+1236.7,,,,,
,,,,,,,,,,214,+1381.3,,,,,
,,,,,,,,,,215,+1338.2,,,,,
,,,,,,,,,,216,+1303.7,,,,,
,,,,,,,,,,217,+1334.3,,,,,
,,,,,,,,,,218,+1363.7,,,,,
,,,,,,,,,,219,+1357.5,,,,,
,,,,,,,,,,220,+1376.5,,,,,
,,,,,,,,,,221,+1390.7,,,,,
,,,,,,,,,,222,+1389.5,,,,,
,,,,,,,,,,223,+1516.8,,,,,
,,,,,,,,,,224,+1373.9,,,,,
,,,,,,,,,,225,+1458.0,,,,,
,,,,,,,,,,226,+1454.0,,,,,
,,,,,,,,,,227,+1454.5,,,,,
,,,,,,,,,,228,+1465.1,,,,,
,,,,,,,,,,229,+1541.9,,,,,
,,,,,,,,,,230,+1581.0,,,,,
,,,,,,,,,,231,+1540.5,,,,,
,,,,,,,,,,232,+1564.8,,,,,
,,,,,,,,,,233,+1571.6,,,,,
,,,,,,,,,,234,+1616.5,,,,,
,,,,,,,,,,235,+1564.1,,,,,
,,,,,,,,,,236,+1591.7,,,,,
,,,,,,,,,,237,+1599.8,,,,,
